entry_idx,entry_price,entry_time,direction,signal,lot_size,stop_loss,take_profit,confidence,exit_type,exit_price,exit_time,exit_idx,pnl
252,97076.51,2025-01-03 15:00:00,SELL,-1,1.2,97076.51999999999,97076.48,66.66666666666666,TP,97069.645,2025-01-03 15:15:00,253,359.99999998603016
256,97534.7675,2025-01-03 16:00:00,BUY,1,1.2,97534.7575,97534.7975,66.66666666666666,TP,97810.005,2025-01-03 16:15:00,257,359.99999998603016
257,97810.005,2025-01-03 16:15:00,SELL,-1,1.2,97810.015,97809.975,66.66666666666666,TP,97762.56,2025-01-03 16:30:00,258,359.99999998603016
260,97502.3725,2025-01-03 17:00:00,BUY,1,1.2,97502.3625,97502.4025,66.66666666666666,TP,97803.0275,2025-01-03 17:15:00,261,359.99999998603016
266,98387.6325,2025-01-03 18:30:00,SELL,-1,1.2,98387.6425,98387.60250000001,66.66666666666666,SL,98448.6325,2025-01-03 18:45:00,267,-119.99999993713573
267,98448.6325,2025-01-03 18:45:00,SELL,-1,1.2,98448.6425,98448.60250000001,66.66666666666666,SL,98668.735,2025-01-03 19:00:00,268,-119.99999993713573
268,98668.735,2025-01-03 19:00:00,BUY,1,1.2,98668.725,98668.765,66.66666666666666,TP,98779.6425,2025-01-03 19:15:00,269,359.99999998603016
269,98779.6425,2025-01-03 19:15:00,SELL,-1,1.2,98779.6525,98779.6125,66.66666666666666,TP,98689.1475,2025-01-03 19:30:00,270,359.99999998603016
272,98441.69,2025-01-03 20:00:00,BUY,1,1.2,98441.68000000001,98441.72,66.66666666666666,TP,98526.54,2025-01-03 20:15:00,273,359.99999998603016
300,98156.66,2025-01-04 03:00:00,SELL,-1,1.2,98156.67,98156.63,100.0,TP,98052.0375,2025-01-04 03:15:00,301,359.99999998603016
306,97878.855,2025-01-04 04:30:00,BUY,1,1.2,97878.845,97878.885,100.0,TP,97906.8075,2025-01-04 04:45:00,307,359.99999998603016
309,98023.7625,2025-01-04 05:15:00,BUY,1,1.2,98023.7525,98023.7925,66.66666666666666,TP,98093.3775,2025-01-04 05:30:00,310,359.99999998603016
310,98093.3775,2025-01-04 05:30:00,SELL,-1,1.2,98093.3875,98093.3475,100.0,TP,98080.3475,2025-01-04 05:45:00,311,359.99999998603016
313,98027.79750000002,2025-01-04 06:15:00,SELL,-1,1.2,98027.80750000001,98027.76750000002,66.66666666666666,TP,98016.4375,2025-01-04 06:30:00,314,359.99999998603016
314,98016.4375,2025-01-04 06:30:00,BUY,1,1.2,98016.4275,98016.4675,100.0,TP,98055.85,2025-01-04 06:45:00,315,359.99999998603016
317,98173.8025,2025-01-04 07:15:00,BUY,1,1.2,98173.79250000001,98173.8325,66.66666666666666,TP,98194.605,2025-01-04 07:30:00,318,359.99999998603016
318,98194.605,2025-01-04 07:30:00,SELL,-1,1.2,98194.61499999999,98194.575,66.66666666666666,SL,98234.2025,2025-01-04 07:45:00,319,-119.99999993713573
319,98234.2025,2025-01-04 07:45:00,SELL,-1,1.2,98234.2125,98234.1725,100.0,TP,98218.645,2025-01-04 08:00:00,320,359.99999998603016
