entry_idx,entry_price,entry_time,entry_bar_time,direction,signal,lot_size,stop_loss,take_profit,tp_pips,cluster_density,confidence,open_bars,exit_idx,exit_price,exit_type,exit_time,pnl,days_open,bars_open
0,93462.03,2025-01-01 00:00:00,2025-01-01 00:00:00,BUY,1,1.2,93462.02,93462.06999999999,400.0,0.5,100,0,16,93629.36,TP,2025-01-01 04:00:00,479.99999992316583,0,16
19,93455.34,2025-01-01 04:45:00,2025-01-01 04:45:00,BUY,1,1.2,93455.33,93455.37999999999,400.0,0.5,100,0,35,93455.33,SL,2025-01-01 08:45:00,-119.99999993713573,0,16
36,93224.5375,2025-01-01 09:00:00,2025-01-01 09:00:00,BUY,1,1.2,93224.52750000001,93224.5775,400.0,0.5,100,0,52,93628.17,TP,2025-01-01 13:00:00,479.99999992316583,0,16
96,94408.8075,2025-01-02 00:00:00,2025-01-02 00:00:00,BUY,1,1.2,94408.7975,94408.84749999999,400.0,0.5,100,0,112,94983.43,TP,2025-01-02 04:00:00,479.99999992316583,0,16
112,94983.43,2025-01-02 04:00:00,2025-01-02 04:00:00,BUY,1,1.2,94983.42,94983.46999999999,400.0,0.5,100,0,128,95877.515,TP,2025-01-02 08:00:00,479.99999992316583,0,16
128,95877.515,2025-01-02 08:00:00,2025-01-02 08:00:00,BUY,1,1.2,95877.505,95877.555,400.0,0.5,100,0,144,96703.97,TP,2025-01-02 12:00:00,479.99999992316583,0,16
193,96845.9675,2025-01-03 00:15:00,2025-01-03 00:15:00,BUY,1,1.2,96845.9575,96846.00749999999,400.0,0.5,100,0,209,96845.9575,SL,2025-01-03 04:15:00,-119.99999993713573,0,16
209,96838.7025,2025-01-03 04:15:00,2025-01-03 04:15:00,SELL,-1,1.2,96838.7125,96838.6625,400.0,0.5,100,0,225,96361.35,TP,2025-01-03 08:15:00,479.99999992316583,0,16
227,96162.09,2025-01-03 08:45:00,2025-01-03 08:45:00,BUY,1,1.2,96162.08,96162.12999999999,400.0,0.5,100,0,243,96545.825,TP,2025-01-03 12:45:00,479.99999992316583,0,16
290,97922.1875,2025-01-04 00:30:00,2025-01-04 00:30:00,BUY,1,1.2,97922.1775,97922.2140079365,265.07936507936506,0.1626984126984127,100,0,306,97922.1775,SL,2025-01-04 04:30:00,-119.99999993713573,0,16
306,97878.855,2025-01-04 04:30:00,2025-01-04 04:30:00,BUY,1,1.2,97878.845,97878.88357142857,285.7142857142857,0.21428571428571427,100,0,322,98140.6875,TP,2025-01-04 08:30:00,342.85714285215363,0,16
323,97984.8625,2025-01-04 08:45:00,2025-01-04 08:45:00,SELL,-1,1.2,97984.8725,97984.83123015873,312.6984126984127,0.28174603174603174,100,0,339,97814.915,TP,2025-01-04 12:45:00,375.23809529375285,0,16
